time,open,high,low,close,volume
5/31/2023 20:00,418.41,418.41,418.41,418.41,1900
5/31/2023 19:59,418.41,418.42,418.4,418.4,9279
5/31/2023 19:58,418.43,418.43,418.39,418.39,819
5/31/2023 19:57,418.38,418.45,418.38,418.45,1057
5/31/2023 19:56,418.39,418.39,418.39,418.39,1498
5/31/2023 19:55,418.39,418.41,418.38,418.39,4007
5/31/2023 19:54,418.4,418.4,418.37,418.4,1708
5/31/2023 19:53,418.4,418.4,418.39,418.39,4655
5/31/2023 19:52,418.42,418.42,418.42,418.42,161
5/31/2023 19:51,418.41,418.45,418.4,418.45,5878
5/31/2023 19:50,418.37,418.4,418.37,418.4,1564
5/31/2023 19:48,418.39,418.39,418.38,418.38,994
5/31/2023 19:47,418.38,418.38,418.35,418.35,1254
5/31/2023 19:46,418.28,418.35,418.28,418.33,2292
5/31/2023 19:45,418.26,418.28,418.25,418.28,2143
5/31/2023 19:44,418.25,418.25,418.25,418.25,3304
5/31/2023 19:43,418.17,418.21,418.17,418.21,883
5/31/2023 19:42,418.16,418.19,418.15,418.19,2358
5/31/2023 19:40,418.15,418.15,418.15,418.15,353
5/31/2023 19:38,418.11,418.15,418.11,418.15,1186
5/31/2023 19:35,418.06,418.06,418.06,418.06,520
5/31/2023 19:33,418.08,418.08,418.08,418.08,3056
5/31/2023 19:32,418.05,418.05,418.05,418.05,333
5/31/2023 19:29,418.02,418.02,418.02,418.02,1555
5/31/2023 19:28,418.04,418.04,418.04,418.04,1090
5/31/2023 19:26,418.05,418.05,418.05,418.05,181
5/31/2023 19:24,418.04,418.09,418.04,418.09,4409
5/31/2023 19:23,417.98,417.98,417.98,417.98,208
5/31/2023 19:18,418.02,418.02,418.02,418.02,1534
5/31/2023 19:14,417.99,417.99,417.99,417.99,415
5/31/2023 19:13,417.98,417.98,417.98,417.98,195
5/31/2023 19:11,417.97,417.97,417.97,417.97,319
5/31/2023 19:07,418,418,418,418,107
5/31/2023 19:06,417.97,418.05,417.97,418.05,1945
5/31/2023 19:05,418.04,418.04,417.97,417.97,1993
5/31/2023 19:03,418.12,418.12,418.12,418.12,1228
5/31/2023 19:02,418.14,418.17,418.14,418.17,1494
5/31/2023 19:01,418.08,418.1,418.07,418.1,1428
5/31/2023 19:00,418.1,418.1,418.08,418.08,1424
5/31/2023 18:59,418.08,418.08,418.08,418.08,662106
5/31/2023 18:58,418.07,418.07,418.06,418.06,300904
5/31/2023 18:56,418.03,418.03,418.03,418.03,683
5/31/2023 18:54,417.9,418.05,417.9,418.05,9193
5/31/2023 18:52,417.75,417.93,417.75,417.91,1603
5/31/2023 18:51,417.78,417.78,417.78,417.78,1123
5/31/2023 18:46,417.77,417.77,417.77,417.77,790
5/31/2023 18:44,417.89,417.89,417.89,417.89,204
5/31/2023 18:43,417.89,417.89,417.89,417.89,1531
5/31/2023 18:39,417.86,417.86,417.86,417.86,491
5/31/2023 18:36,417.9,417.9,417.86,417.86,926
5/31/2023 18:35,417.75,417.75,417.75,417.75,129
5/31/2023 18:33,417.76,417.76,417.76,417.76,205
5/31/2023 18:31,417.79,417.79,417.77,417.77,1715
5/31/2023 18:29,417.8,417.8,417.8,417.8,1001
5/31/2023 18:27,417.88,417.88,417.85,417.85,603
5/31/2023 18:25,417.87,417.87,417.87,417.87,221
5/31/2023 18:24,417.87,417.87,417.85,417.85,738
5/31/2023 18:22,417.78,417.78,417.75,417.75,474
5/31/2023 18:21,417.77,417.789,417.77,417.789,843
5/31/2023 18:20,417.76,417.76,417.76,417.76,1681
5/31/2023 18:18,417.78,417.85,417.78,417.85,33787
5/31/2023 18:17,417.84,417.84,417.81,417.81,2637
5/31/2023 18:16,417.83,417.83,417.83,417.83,406
5/31/2023 18:15,417.85,417.87,417.85,417.87,4489
5/31/2023 18:14,417.77,417.77,417.77,417.77,201
5/31/2023 18:13,417.76,417.76,417.76,417.76,2118
5/31/2023 18:12,417.74,417.74,417.74,417.74,2936
5/31/2023 18:11,417.72,417.72,417.72,417.72,4285
5/31/2023 18:10,417.68,417.74,417.67,417.67,23018
5/31/2023 18:09,417.74,417.75,417.69,417.69,2626
5/31/2023 18:08,417.81,417.83,417.74,417.74,1608
5/31/2023 18:07,417.82,417.82,417.82,417.82,6028
5/31/2023 18:06,417.85,417.85,417.85,417.85,23786
5/31/2023 18:05,417.8,417.8,417.8,417.8,8451
5/31/2023 18:04,417.8,417.81,417.8,417.81,17195
5/31/2023 18:03,417.79,417.82,417.76,417.8,2985
5/31/2023 18:02,417.76,417.78,417.75,417.77,2274
5/31/2023 18:01,417.79,417.79,417.76,417.76,673
5/31/2023 18:00,417.74,417.82,417.74,417.75,4564
5/31/2023 17:59,417.65,417.66,417.65,417.66,386
5/31/2023 17:58,417.69,417.69,417.68,417.68,1273
5/31/2023 17:56,417.68,417.72,417.68,417.71,1472
5/31/2023 17:54,417.72,417.72,417.72,417.72,452
5/31/2023 17:53,417.74,417.74,417.74,417.74,2313
5/31/2023 17:52,417.68,417.74,417.68,417.74,3247
5/31/2023 17:50,417.63,417.64,417.63,417.64,9942
5/31/2023 17:49,417.64,417.64,417.64,417.64,482
5/31/2023 17:48,417.62,417.62,417.62,417.62,334
5/31/2023 17:47,417.65,417.65,417.62,417.62,5043
5/31/2023 17:46,417.65,417.6882,417.65,417.6882,2419
5/31/2023 17:44,417.7,417.7,417.7,417.7,327
5/31/2023 17:43,417.74,417.74,417.74,417.74,1269
5/31/2023 17:42,417.7085,417.71,417.7085,417.71,559
5/31/2023 17:41,417.67,417.71,417.64,417.71,2776
5/31/2023 17:40,417.7772,417.7772,417.7772,417.7772,402
5/31/2023 17:39,417.78,417.78,417.78,417.78,189
5/31/2023 17:37,417.76,417.78,417.7,417.78,14943
5/31/2023 17:35,417.75,417.75,417.75,417.75,1627
5/31/2023 17:34,417.66,417.76,417.62,417.76,11423
5/31/2023 17:33,417.73,417.85,417.7,417.8,22781
5/31/2023 17:30,417.79,417.8,417.79,417.8,1513
5/31/2023 17:29,417.79,417.79,417.79,417.79,294
5/31/2023 17:27,417.79,417.79,417.79,417.79,154
5/31/2023 17:26,417.78,417.8,417.78,417.79,16331
5/31/2023 17:24,417.78,417.78,417.78,417.78,2502
5/31/2023 17:23,417.75,417.76,417.74,417.76,2488
5/31/2023 17:22,417.75,417.75,417.75,417.75,1276
5/31/2023 17:21,417.75,417.75,417.72,417.75,693
5/31/2023 17:16,417.7,417.74,417.7,417.74,1417
5/31/2023 17:14,417.7399,417.7399,417.7399,417.7399,262
5/31/2023 17:12,417.72,417.75,417.72,417.75,9969
5/31/2023 17:11,417.65,417.77,417.65,417.65,4665
