High,Low
415.085,413.745
415.085,413.745
415.085,413.86
415.085,413.86
415.1086,413.86
415.1086,413.86
415.1086,413.86
415.1086,413.86
415.1086,413.86
415.1086,413.86
415.1086,413.86
415.1086,413.86
415.1086,413.86
415.1086,414.1
415.1086,414.1
415.1086,414.1
415.1086,414.17
415.1086,414.26
415.1086,414.28
415.1086,414.28
415.1086,414.335
415.1086,414.46
415.11,414.46
415.12,414.46
415.17,414.46
415.2006,414.46
415.2006,414.46
415.35,414.51
415.35,414.51
415.38,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.545
415.52,414.545
415.52,414.545
415.52,414.545
415.52,414.545
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.71
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.65
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.555
415.45,414.555
415.45,414.555
415.45,414.555
415.45,414.555
415.45,414.41
415.45,414.41
415.45,414.41
415.45,414.41
415.45,414.385
415.45,414.24
415.45,414.24
415.45,414.24
415.45,414.24
415.45,414.24
415.45,414.24
415.45,414.21
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.435,414.1802
415.435,414.1802
415.41,414.1802
415.41,414.1802
415.34,414.1802
415.29,414.1802
415.28,414.1802
415.17,414.1802
415.2,414.1802
415.24,414.1802
415.24,414.1802
415.24,414.1802
415.265,414.1802
415.265,414.1802
415.365,414.1802
415.45,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.29
415.515,414.31
415.515,414.41
415.515,414.41
415.515,414.41
415.515,414.41
415.67,414.57
415.67,414.65
415.67,414.65
415.75,414.725
416.85,415.77
416.85,415.77
416.92,415.77
417.31,415.77
417.31,415.77
417.31,415.855
417.31,415.855
417.31,415.855
417.31,415.855
417.31,415.855
417.3899,415.855
417.41,415.855
417.41,415.855
417.41,415.855
417.41,415.895
417.41,416
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.115
417.41,416.27
417.41,416.27
417.41,416.33
417.41,416.37
417.41,416.45
417.41,416.45
417.41,416.45
417.41,416.45
417.41,416.45
417.41,416.45
417.41,416.5001
417.41,416.5001
417.41,416.5001
417.41,416.5001
417.41,416.5001
417.41,416.5001
417.41,416.53
417.41,416.57
417.41,416.62
417.41,416.62
417.41,416.62
417.41,416.62
