time,open,volume,MACD,MACD_Hist,MACD_Signal,high,low
5/31/2023 15:59,418.105,5653492,-0.1139,-0.0884,-0.0254,418.105,417.76
5/31/2023 15:58,417.76,3337166,-0.1199,-0.1165,-0.0033,418.105,417.76
5/31/2023 15:57,417.795,2345699,-0.0906,-0.1164,0.0258,418.105,417.76
5/31/2023 15:56,417.885,1656396,-0.0556,-0.1105,0.0549,418.105,417.76
5/31/2023 15:55,417.97,2261461,-0.0192,-0.1018,0.0825,418.105,417.76
5/31/2023 15:54,417.98,853887,0.0188,-0.0892,0.108,418.155,417.76
5/31/2023 15:53,418.155,2221815,0.0661,-0.0642,0.1303,418.275,417.76
5/31/2023 15:52,418.275,2400397,0.1076,-0.0387,0.1463,418.365,417.76
5/31/2023 15:51,418.365,1718295,0.1468,-0.0091,0.156,418.85,417.76
5/31/2023 15:50,418.85,2403978,0.1856,0.0274,0.1583,418.85,417.76
5/31/2023 15:49,418.78,267481,0.1831,0.0316,0.1514,418.85,417.76
5/31/2023 15:48,418.785,225228,0.1842,0.0407,0.1435,418.85,417.76
5/31/2023 15:47,418.735,402374,0.1826,0.0492,0.1333,418.99,417.76
5/31/2023 15:46,418.99,663442,0.1829,0.0618,0.121,418.99,417.76
5/31/2023 15:45,418.95,381533,0.1546,0.049,0.1056,418.99,417.76
5/31/2023 15:44,418.69,531884,0.1204,0.027,0.0933,418.99,417.76
5/31/2023 15:43,418.46,332814,0.1014,0.0148,0.0866,418.99,417.76
5/31/2023 15:42,418.45,441337,0.0991,0.0162,0.0828,418.99,417.76
5/31/2023 15:41,418.415,156007,0.0958,0.017,0.0788,418.99,417.76
5/31/2023 15:40,418.405,480955,0.0937,0.0191,0.0745,418.99,417.76
5/31/2023 15:39,418.35,249397,0.0907,0.0209,0.0698,418.99,417.76
5/31/2023 15:38,418.43,191510,0.0911,0.0266,0.0645,418.99,417.76
5/31/2023 15:37,418.35,159549,0.0822,0.0243,0.0579,418.99,417.76
5/31/2023 15:36,418.28,165431,0.0778,0.026,0.0518,418.99,417.76
5/31/2023 15:35,418.33,132844,0.0781,0.0328,0.0453,418.99,417.76
5/31/2023 15:34,418.36,175442,0.0724,0.0353,0.0371,418.99,417.76
5/31/2023 15:33,418.335,176604,0.0609,0.0326,0.0283,418.99,417.76
5/31/2023 15:32,418.26,254801,0.0479,0.0278,0.0201,418.99,417.76
5/31/2023 15:31,418.15,186215,0.0383,0.0251,0.0132,418.99,417.76
5/31/2023 15:30,418.21,238957,0.0366,0.0297,0.0069,418.99,417.76
5/31/2023 15:29,418.195,103276,0.0279,0.0284,-0.0005,418.99,417.76
5/31/2023 15:28,418.1482,122250,0.0178,0.0254,-0.0076,418.99,417.76
5/31/2023 15:27,418.075,67182,0.0095,0.0235,-0.014,418.99,417.76
5/31/2023 15:26,418.06,111062,0.0062,0.026,-0.0198,418.99,417.76
5/31/2023 15:25,418.14,88807,0.0034,0.0297,-0.0263,418.99,417.76
5/31/2023 15:24,418.01,135892,-0.0083,0.0254,-0.0338,418.99,417.76
5/31/2023 15:23,418.095,98472,-0.01,0.0302,-0.0401,418.99,417.76
5/31/2023 15:22,418.09,119765,-0.0206,0.0271,-0.0477,418.99,417.76
5/31/2023 15:21,418.005,117188,-0.0333,0.0212,-0.0544,418.99,417.76
5/31/2023 15:20,417.89,107754,-0.0404,0.0194,-0.0597,418.99,417.76
5/31/2023 15:19,418.0082,80117,-0.0371,0.0275,-0.0646,418.99,417.76
5/31/2023 15:18,417.94,112124,-0.0445,0.027,-0.0714,418.99,417.76
5/31/2023 15:17,418.03,139980,-0.0463,0.0319,-0.0782,418.99,417.76
5/31/2023 15:16,418.03,112511,-0.057,0.0291,-0.0862,418.99,417.76
5/31/2023 15:15,418,136839,-0.07,0.0235,-0.0934,418.99,417.76
5/31/2023 15:14,418.015,112445,-0.0824,0.0169,-0.0993,418.99,417.76
5/31/2023 15:13,417.925,142671,-0.0986,0.0049,-0.1035,418.99,417.76
5/31/2023 15:12,417.805,89002,-0.1087,-0.0039,-0.1047,418.99,417.76
5/31/2023 15:11,417.78,100071,-0.1077,-0.004,-0.1038,418.99,417.76
5/31/2023 15:10,417.93,206512,-0.1024,0.0003,-0.1028,418.99,417.76
5/31/2023 15:09,417.885,307617,-0.1094,-0.0066,-0.1029,418.99,417.76
5/31/2023 15:08,417.81,182981,-0.1122,-0.011,-0.1012,418.99,417.76
5/31/2023 15:07,417.78,120849,-0.1064,-0.008,-0.0985,418.99,417.76
5/31/2023 15:06,417.93,127574,-0.0945,0.002,-0.0965,418.99,417.76
5/31/2023 15:05,417.98,92897,-0.0932,0.0038,-0.097,418.99,417.76
5/31/2023 15:04,417.97,169685,-0.0952,0.0027,-0.0979,418.99,417.76
5/31/2023 15:03,418.01,90326,-0.0954,0.0032,-0.0986,418.99,417.76
5/31/2023 15:02,417.9199,377975,-0.0984,0.001,-0.0994,418.99,417.76
5/31/2023 15:01,418.06,366594,-0.0915,0.0081,-0.0996,418.99,417.76
5/31/2023 15:00,418.13,268629,-0.0957,0.006,-0.1017,418.99,417.76
5/31/2023 14:59,418.09,172097,-0.1068,-0.0036,-0.1032,418.99,417.76
5/31/2023 14:58,418.195,171762,-0.1153,-0.013,-0.1023,418.99,417.78
5/31/2023 14:57,418.04,845008,-0.1351,-0.0361,-0.099,418.99,417.78
5/31/2023 14:56,417.965,126086,-0.1427,-0.0528,-0.09,418.99,417.78
5/31/2023 14:55,417.96,188736,-0.1428,-0.066,-0.0768,418.99,417.78
5/31/2023 14:54,417.845,162264,-0.1402,-0.0799,-0.0603,418.99,417.78
5/31/2023 14:53,417.9,226825,-0.1232,-0.0828,-0.0403,418.99,417.62
5/31/2023 14:52,417.62,234312,-0.1052,-0.0856,-0.0196,418.99,417.62
5/31/2023 14:51,417.86,265535,-0.0523,-0.0541,0.0018,418.99,417.62
5/31/2023 14:50,418.3,360544,-0.0084,-0.0237,0.0153,418.99,417.62
5/31/2023 14:49,418.28,130846,0.0029,-0.0183,0.0212,418.99,417.62
5/31/2023 14:48,418.482,139113,0.0194,-0.0065,0.0258,418.99,417.62
5/31/2023 14:47,418.505,75909,0.0195,-0.0079,0.0275,418.99,417.62
5/31/2023 14:46,418.41,113026,0.0171,-0.0124,0.0294,418.95,417.62
5/31/2023 14:45,418.49,82016,0.0234,-0.0091,0.0325,418.69,417.62
5/31/2023 14:44,418.415,69960,0.023,-0.0118,0.0348,418.51,417.62
5/31/2023 14:43,418.51,102234,0.0297,-0.0081,0.0378,418.51,417.62
5/31/2023 14:42,418.39,135673,0.0282,-0.0115,0.0398,418.51,417.62
5/31/2023 14:41,418.49,136760,0.0382,-0.0045,0.0427,418.52,417.62
5/31/2023 14:40,418.52,101424,0.0401,-0.0037,0.0438,418.52,417.62
5/31/2023 14:39,418.44,75834,0.0389,-0.0058,0.0447,418.56,417.62
5/31/2023 14:38,418.56,87260,0.045,-0.0012,0.0462,418.62,417.62
5/31/2023 14:37,418.62,77064,0.0399,-0.0066,0.0465,418.62,417.62
5/31/2023 14:36,418.46,99569,0.0266,-0.0215,0.0481,418.62,417.62
5/31/2023 14:35,418.27,109124,0.0257,-0.0278,0.0535,418.62,417.62
5/31/2023 14:34,418.378,121699,0.0434,-0.0171,0.0605,418.62,417.62
5/31/2023 14:33,418.46,90424,0.0544,-0.0103,0.0647,418.62,417.62
5/31/2023 14:32,418.435,122220,0.0593,-0.008,0.0673,418.62,417.62
5/31/2023 14:31,418.47,168270,0.0672,-0.0021,0.0693,418.62,417.62
5/31/2023 14:30,418.58,442723,0.0728,0.003,0.0698,418.62,417.62
5/31/2023 14:29,418.56,97805,0.0677,-0.0014,0.0691,418.62,417.62
5/31/2023 14:28,418.55,109533,0.0622,-0.0072,0.0694,418.62,417.62
5/31/2023 14:27,418.5,576937,0.0553,-0.0159,0.0712,418.62,417.62
5/31/2023 14:26,418.37,77039,0.0508,-0.0244,0.0752,418.62,417.62
5/31/2023 14:25,418.41,94555,0.0575,-0.0238,0.0813,418.62,417.62
5/31/2023 14:24,418.34,109887,0.0612,-0.026,0.0873,418.62,417.62
5/31/2023 14:23,418.39,328589,0.0722,-0.0216,0.0938,418.62,417.62
5/31/2023 14:22,418.41,90416,0.08,-0.0191,0.0992,418.62,417.62
5/31/2023 14:21,418.43,309772,0.0868,-0.0171,0.1039,418.62,417.62
5/31/2023 14:20,418.485,53490,0.0922,-0.016,0.1082,418.62,417.62
5/31/2023 14:19,418.385,52992,0.0921,-0.0201,0.1122,418.62,417.62
5/31/2023 14:18,418.39,112359,0.1008,-0.0164,0.1173,418.62,417.62
5/31/2023 14:17,418.28,82202,0.11,-0.0114,0.1214,418.62,417.62
5/31/2023 14:16,418.56,203891,0.1313,0.0071,0.1242,418.62,417.62
5/31/2023 14:15,418.6,184121,0.1281,0.0056,0.1225,418.62,417.62
5/31/2023 14:14,418.48,137695,0.118,-0.003,0.121,418.62,417.62
5/31/2023 14:13,418.39,64840,0.1157,-0.0061,0.1218,418.62,417.62
5/31/2023 14:12,418.34,104993,0.1202,-0.0031,0.1233,418.62,417.62
5/31/2023 14:11,418.495,212935,0.1293,0.0053,0.1241,418.62,417.62
5/31/2023 14:10,418.44,108994,0.1233,0.0005,0.1228,418.62,417.62
5/31/2023 14:09,418.38,49024,0.1194,-0.0032,0.1226,418.62,417.62
5/31/2023 14:08,418.42,147737,0.1188,-0.0047,0.1235,418.62,417.62
5/31/2023 14:07,418.36,118816,0.1122,-0.0124,0.1246,418.62,417.62
5/31/2023 14:06,418.28,77069,0.1083,-0.0194,0.1277,418.62,417.62
5/31/2023 14:05,418.25,117479,0.1099,-0.0227,0.1326,418.62,417.62
5/31/2023 14:04,418.04,77109,0.1133,-0.0249,0.1382,418.62,417.62
5/31/2023 14:03,418.25,95342,0.1375,-0.007,0.1445,418.62,417.62
5/31/2023 14:02,418.31,133095,0.1449,-0.0013,0.1462,418.62,417.62
5/31/2023 14:01,418.27,88062,0.1462,-0.0003,0.1465,418.62,417.62
5/31/2023 14:00,418.31,75323,0.1498,0.0032,0.1466,418.62,417.62
5/31/2023 13:59,418.29,133547,0.1482,0.0024,0.1458,418.62,417.62
5/31/2023 13:58,418.22,49378,0.1459,0.0007,0.1452,418.62,417.62
5/31/2023 13:57,418.31,301701,0.148,0.003,0.145,418.62,417.62
5/31/2023 13:56,418.31,106539,0.1394,-0.0048,0.1442,418.62,417.62
5/31/2023 13:55,418.07,162570,0.1264,-0.019,0.1454,418.62,417.62
5/31/2023 13:54,418.21,870172,0.1325,-0.0177,0.1502,418.62,417.62
5/31/2023 13:53,418.1,110443,0.1239,-0.0307,0.1546,418.62,417.62
5/31/2023 13:52,418.03,83676,0.1225,-0.0398,0.1623,418.62,417.86
5/31/2023 13:51,417.94,88071,0.1259,-0.0463,0.1722,418.62,417.84
5/31/2023 13:50,417.84,59243,0.1377,-0.0461,0.1838,418.62,417.84
5/31/2023 13:49,417.84,327243,0.1609,-0.0344,0.1953,418.62,417.84
5/31/2023 13:48,418.0084,88826,0.1882,-0.0158,0.204,418.62,417.84
5/31/2023 13:47,417.94,61995,0.2031,-0.0048,0.2079,418.62,417.84
5/31/2023 13:46,418.03,532176,0.2261,0.017,0.2091,418.62,417.84
5/31/2023 13:45,418.17,167086,0.2431,0.0382,0.2049,418.62,417.84
5/31/2023 13:44,418.23,92680,0.2469,0.0516,0.1953,418.62,417.84
5/31/2023 13:43,418.345,101727,0.2422,0.0598,0.1824,418.62,417.84
5/31/2023 13:42,418.2814,152574,0.2208,0.0534,0.1674,418.62,417.84
5/31/2023 13:41,418.21,178280,0.1969,0.0428,0.1541,418.62,417.84
5/31/2023 13:40,418.08,531585,0.1707,0.0273,0.1434,418.62,417.84
5/31/2023 13:39,417.85,198458,0.148,0.0115,0.1366,418.62,417.7121
5/31/2023 13:38,417.7121,85671,0.1404,0.0067,0.1337,418.62,417.52
5/31/2023 13:37,417.52,239657,0.1426,0.0106,0.132,418.6,417.52
5/31/2023 13:36,417.7682,293807,0.163,0.0336,0.1294,418.6,417.52
5/31/2023 13:35,417.81,187636,0.1613,0.0403,0.121,418.6,417.52
5/31/2023 13:34,417.77,130396,0.1525,0.0416,0.1109,418.6,417.52
5/31/2023 13:33,417.725,167810,0.1432,0.0427,0.1005,418.6,417.52
